IT SYSTEM,DEVELOPER(S),TYPE,LICENSE,WEBSITE,WRITTEN IN,LANGUAGE(S)
Chrome,Google Inc.,Web browser/ mobile browser,Freeware,google.com/chrome/browser/,C++,47
Firefox,Mozilla Corporation,Web browser/ mobile browser,MPL 2.0,mozilla.org/firefox,C++/ JavaScript/ HTML/ C/ Rust,91
Internet Explorer,Microsoft,Web browser/ mobile browser,Proprietary,microsoft.com/ie,NA,95
Opera,Opera Software,Web browser/ mobile browser,Freeware,www.opera.com/compute,C++,42
Safari,Apple Inc.,Web browser/ mobile browser,Freeware,apple.com/safari,C++/ Objective-C and Swift,NA
Edge,Microsoft,Web browser/ mobile browser,Proprietary,microsoftedge.com,NA,NA
Android,Google Inc.,Mobile Operating System,Apache License 2.0,android.com,Java (UI)/ C (core)/ C++,NA
BlackBerry OS,BlackBerry Limited,Mobile Operating System,Proprietary,ca.blackberry.com/software/smartphones/blackberry-10-os.html,C/ C++/ Qt,NA
iOS,Apple Inc.,Mobile Operating System,Proprietary,https://www.apple.com/ios/,C/ C++/ Objective-C/ Swift,40
Windows,Microsoft,Operating System,Proprietary,windows.microsoft.com,NA,137
Windows Mobile,Microsoft,Mobile Operating System,Proprietary,www.microsoft.com/windowsmobile/default.mspx,NA,NA
Windows Phone,Microsoft,Mobile Operating System,Proprietary,www.windowsphone.com/,C/ C++,130
Windows 10 Mobile,Microsoft,Mobile Operating System,Proprietary,microsoft.com/mobile/windows10,NA,NA
macOS,Apple Inc.,Operating System,Proprietary,www.apple.com/macos,C/C++/Objective-C/Swift,34
Ubuntu,Canonical Ltd,Operating System,GNU General Public License,www.ubuntu.com,NA,55
Gradle,Hans Dockter/ Adam Murdoch/ Szczepan Faber/ Peter Niederwieser/ Luke Daley/ Rene Gröschke/ Daz DeBoer/ Steve Appling,Build tool,Apache License 2.0,gradle.org,Java/ Groovy,NA
Elasticsearch,Shay Banon,Search and index,Apache License 2.0,elastic.co/products/elasticsearch,Java,NA
Office,Microsoft,Office suite,Proprietary,www.office.com,NA,102
Acrobat,Adobe Systems,Desktop publishing,Proprietary,Desktop publishing,NA,NA
Git,Junio Hamano and others,Version control,GNU General Public License,git-scm.com,C/ Shell/ Perl/ Tcl/ Python,1
Visual Studio,Microsoft,Integrated development environment (IDE),Freemium,www.visualstudio.com,C++ and C#,NA
WordPress,WordPress Foundation,Blog software/ Content Management System/ Content Management Framework,GNU General Public License,wordpress.org,PHP,NA
Eclipse,Eclipse Foundation,Programming tool/ integrated development environment (IDE),Eclipse Public,www.eclipse.org,Java,44
CorelDraw,Corel,Vector graphics editor,Proprietary,www.coreldraw.com,C++/ C#,NA
Windows Media Player,Microsoft,Media player,Proprietary,https://www.microsoft.com/en-in/download/windows-media-player-details.aspx,NA,NA
Flash Player,Adobe Systems,Run-time environment/ Media player/ Browser extension,Freeware,www.adobe.com/products/flashplayer.html,C++,12
