IT SYSTEM,VERSION,CODE NAME,PRODUCT NAME,PLATFORM,RELEASE DATE,OBSOLETE
Chrome,0,NA,NA,NA,02-Sep-2008,Yes
Chrome,1,NA,NA,NA,11-Dec-2008,Yes
Chrome,2,NA,NA,NA,24-May-2009,Yes
Chrome,3,NA,NA,NA,12-Oct-2009,Yes
Chrome,4,NA,NA,NA,25-Jan-2010,Yes
Chrome,5,NA,NA,NA,21-May-2010,Yes
Chrome,6,NA,NA,NA,02-Sep-2010,Yes
Chrome,7,NA,NA,NA,21-Oct-2010,Yes
Chrome,8,NA,NA,NA,02-Dec-2010,Yes
Chrome,9,NA,NA,NA,03-Feb-2011,Yes
Chrome,10,NA,NA,NA,08-Mar-2011,Yes
Chrome,11,NA,NA,NA,27-Apr-2011,Yes
Chrome,12,NA,NA,NA,07-Jun-2011,Yes
Chrome,13,NA,NA,NA,02-Aug-2011,Yes
Chrome,14,NA,NA,NA,16-Sep-2011,Yes
Chrome,15,NA,NA,NA,25-Oct-2011,Yes
Chrome,16,NA,NA,NA,13-Dec-2011,Yes
Chrome,17,NA,NA,NA,08-Feb-2012,Yes
Chrome,18,NA,NA,NA,28-Mar-2012,Yes
Chrome,19,NA,NA,NA,15-May-2012,Yes
Chrome,20,NA,NA,NA,26-Jun-2012,Yes
Chrome,21,NA,NA,NA,31-Jul-2012,Yes
Chrome,22,NA,NA,NA,25-Sep-2012,Yes
Chrome,23,NA,NA,NA,06-Nov-2012,Yes
Chrome,24,NA,NA,NA,10-Jan-2013,Yes
Chrome,25,NA,NA,NA,21-Feb-2013,Yes
Chrome,26,NA,NA,NA,26-Mar-2013,Yes
Chrome,27,NA,NA,NA,21-May-2013,Yes
Chrome,28,NA,NA,NA,17-Jun-2013,Yes
Chrome,29,NA,NA,NA,20-Aug-2013,Yes
Chrome,30,NA,NA,NA,18-Sep-2013,Yes
Chrome,31,NA,NA,NA,12-Nov-2013,Yes
Chrome,32,NA,NA,NA,14-Jan-2014,Yes
Chrome,33,NA,NA,NA,18-Feb-2014,Yes
Chrome,34,NA,NA,NA,02-Apr-2014,Yes
Chrome,35,NA,NA,NA,20-May-2014,Yes
Chrome,36,NA,NA,NA,15-Jul-2014,Yes
Chrome,37,NA,NA,NA,26-Aug-2014,Yes
Chrome,38,NA,NA,NA,07-Oct-2014,Yes
Chrome,39,NA,NA,NA,12-Nov-2014,Yes
Chrome,40,NA,NA,NA,20-Jan-2015,Yes
Chrome,41,NA,NA,NA,03-Mar-2015,Yes
Chrome,42,NA,NA,NA,14-Apr-2015,Yes
Chrome,43,NA,NA,NA,19-May-2015,Yes
Chrome,44,NA,NA,NA,21-Jul-2015,Yes
Chrome,45,NA,NA,NA,01-Sep-2015,Yes
Chrome,46,NA,NA,NA,13-Oct-2015,Yes
Chrome,47,NA,NA,NA,01-Dec-2015,Yes
Chrome,48,NA,NA,NA,20-Jan-2016,Yes
Chrome,49,NA,NA,NA,02-Mar-2016,Yes
Chrome,50,NA,NA,NA,13-Apr-2016,Yes
Chrome,51,NA,NA,NA,25-May-2016,Yes
Chrome,52,NA,NA,NA,20-Jul-2016,Yes
Chrome,53,NA,NA,NA,31-Aug-2016,Yes
Chrome,54,NA,NA,NA,12-Oct-2016,Yes
Chrome,55,NA,NA,NA,01-Dec-2016,Yes
Chrome,56,NA,NA,NA,25-Jan-2017,Yes
Chrome,57,NA,NA,NA,09-Mar-2017,Yes
Chrome,58,NA,NA,NA,19-Apr-2017,Yes
Chrome,59,NA,NA,NA,05-Jun-2017,Yes
Chrome,60,NA,NA,NA,25-Jul-2017,Yes
Chrome,61,NA,NA,NA,05-Sep-2017,Yes
Chrome,62,NA,NA,NA,17-Oct-2017,No
Firefox,0,NA,NA,NA,02-Sep-2004,Yes
Firefox,1,NA,NA,NA,09-Nov-2004,Yes
Firefox,1.5,NA,NA,NA,29-Nov-2005,Yes
Firefox,2,NA,NA,NA,24-Oct-2006,Yes
Firefox,3,NA,NA,NA,17-Jun-2008,Yes
Firefox,3.5,NA,NA,NA,30-Jun-2009,Yes
Firefox,3.6,NA,NA,NA,21-Jan-2010,Yes
Firefox,4,NA,NA,NA,22-Mar-2011,Yes
Firefox,5,NA,NA,NA,21-Jun-2011,Yes
Firefox,6,NA,NA,NA,16-Aug-2011,Yes
Firefox,7,NA,NA,NA,27-Sep-2011,Yes
Firefox,8,NA,NA,NA,08-Nov-2011,Yes
Firefox,9,NA,NA,NA,20-Dec-2011,Yes
Firefox,10,NA,NA,NA,31-Jan-2012,Yes
Firefox,11,NA,NA,NA,13-Mar-2012,Yes
Firefox,12,NA,NA,NA,24-Apr-2012,Yes
Firefox,13,NA,NA,NA,05-Jun-2012,Yes
Firefox,14,NA,NA,NA,26-Jun-2012,Yes
Firefox,15,NA,NA,NA,28-Aug-2012,Yes
Firefox,16,NA,NA,NA,09-Oct-2012,Yes
Firefox,17,NA,NA,NA,20-Nov-2012,Yes
Firefox,18,NA,NA,NA,08-Jan-2013,Yes
Firefox,19,NA,NA,NA,19-Feb-2013,Yes
Firefox,20,NA,NA,NA,02-Apr-2013,Yes
Firefox,21,NA,NA,NA,14-May-2013,Yes
Firefox,22,NA,NA,NA,25-Jun-2013,Yes
Firefox,23,NA,NA,NA,06-Aug-2013,Yes
Firefox,24,NA,NA,NA,17-Sep-2013,Yes
Firefox,25,NA,NA,NA,29-Oct-2013,Yes
Firefox,26,NA,NA,NA,10-Dec-2013,Yes
Firefox,27,NA,NA,NA,04-Feb-2014,Yes
Firefox,28,NA,NA,NA,18-Mar-2014,Yes
Firefox,29,NA,NA,NA,29-Apr-2014,Yes
Firefox,30,NA,NA,NA,10-Jun-2014,Yes
Firefox,31,NA,NA,NA,22-Jul-2014,Yes
Firefox,32,NA,NA,NA,02-Sep-2014,Yes
Firefox,33,NA,NA,NA,14-Oct-2014,Yes
Firefox,34,NA,NA,NA,01-Dec-2014,Yes
Firefox,35,NA,NA,NA,13-Jan-2015,Yes
Firefox,36,NA,NA,NA,24-Feb-2015,Yes
Firefox,37,NA,NA,NA,31-Mar-2015,Yes
Firefox,38,NA,NA,NA,12-May-2015,Yes
Firefox,39,NA,NA,NA,02-Jul-2015,Yes
Firefox,40,NA,NA,NA,11-Aug-2015,Yes
Firefox,41,NA,NA,NA,22-Sep-2015,Yes
Firefox,42,NA,NA,NA,03-Nov-2015,Yes
Firefox,43,NA,NA,NA,15-Dec-2015,Yes
Firefox,44,NA,NA,NA,26-Jan-2016,Yes
Firefox,45,NA,NA,NA,08-Mar-2016,Yes
Firefox,46,NA,NA,NA,26-Apr-2016,Yes
Firefox,47,NA,NA,NA,07-Jun-2016,Yes
Firefox,48,NA,NA,NA,02-Aug-2016,Yes
Firefox,49,NA,NA,NA,20-Sep-2016,Yes
Firefox,50,NA,NA,NA,15-Nov-2016,Yes
Firefox,51,NA,NA,NA,24-Jan-2017,Yes
Firefox,52,NA,NA,NA,07-Mar-2017,Yes
Firefox,53,NA,NA,NA,19-Apr-2017,Yes
Firefox,54,NA,NA,NA,13-Jun-2017,Yes
Firefox,55,NA,NA,NA,08-Aug-2017,Yes
Firefox,56,NA,NA,NA,28-Sep-2017,Yes
Firefox,57,NA,NA,NA,14-Nov-2017,No
Internet Explorer,1,NA,NA,NA,16-Aug-1995,Yes
Internet Explorer,2,NA,NA,NA,22-Nov-1995,Yes
Internet Explorer,3,NA,NA,NA,13-Aug-1996,Yes
Internet Explorer,4,NA,NA,NA,01-Sep-1997,Yes
Internet Explorer,5,NA,NA,NA,18-Mar-1999,Yes
Internet Explorer,6,NA,NA,NA,27-Aug-2001,Yes
Internet Explorer,7,NA,NA,NA,18-Oct-2006,Yes
Internet Explorer,8,NA,NA,NA,19-Mar-2009,No
Internet Explorer,9,NA,NA,NA,14-Mar-2011,No
Internet Explorer,10,NA,NA,NA,26-Oct-2012,No
Internet Explorer,11,NA,NA,NA,17-Oct-2013,No
Opera,1,NA,NA,NA,10-Apr-1995,Yes
Opera,2,NA,NA,NA,22-Apr-1996,Yes
Opera,3,NA,NA,NA,01-Dec-1997,Yes
